iterations,nthreads,n,block_size,eps,time_1,time_2,time_3,time_4,time_5
5770,1,1000,2,0.1,33873,28360,28127,28225,28329
5770,1,1000,4,0.1,11979,12217,12098,11955,11858
5770,1,1000,8,0.1,10788,10714,10638,10664,10661
5770,1,1000,16,0.1,13564,13576,13873,13945,13672
5770,1,1000,32,0.1,15372,15477,15242,15046,15335
5770,1,1000,64,0.1,17114,17196,17147,16934,17190
5770,2,1000,2,0.1,15223,14986,14794,14806,14888
5770,2,1000,4,0.1,7771,7599,7876,7431,7583
5770,2,1000,8,0.1,6099,6160,6103,6284,6163
5770,2,1000,16,0.1,6558,6570,6558,6581,6723
5770,2,1000,32,0.1,7665,7454,7387,7375,7384
5770,2,1000,64,0.1,8672,8673,8677,8640,8594
5770,4,1000,2,0.1,10609,10837,10661,10878,10866
5770,4,1000,4,0.1,6204,6179,6170,6247,6125
5770,4,1000,8,0.1,4586,4595,4584,4644,4651
5770,4,1000,16,0.1,4535,4477,4479,4492,4451
5770,4,1000,32,0.1,4880,4827,4850,4970,4825
5770,4,1000,64,0.1,5538,5627,5613,5620,5761
5770,8,1000,2,0.1,11105,11436,11702,11712,11506
5770,8,1000,4,0.1,6883,6943,6904,6866,6846
5770,8,1000,8,0.1,4877,4948,4983,4952,4945
5770,8,1000,16,0.1,4558,4538,4560,4396,4550
5770,8,1000,32,0.1,4837,4763,4674,4713,4705
5770,8,1000,64,0.1,5250,5266,5282,5212,5316
